Alahsa,Alahsa,Eastern-Region,yes
Alaflaj,Alaflaj,Ar-Riyad,no
Alasyah,Alasyah,Al-Qaseem,no
Albaha,Albaha,Al-Baha,no
Albadai,Albadai,Al-Qaseem,no
Albukayriyah,Albukayriyah,Al-Qaseem,no
Alhariq,Alhariq,Ar-Riyad,no
Addiriyah,Addiriyah,Ar-Riyad,no
Addammam,Addammam,Eastern-Region,yes
Adduwadimi,Adduwadimi,Ar-Riyad,yes
Alaridah,Alaridah,Jazan,no
Alaqiq,Alaqiq,Al-Baha,no
Alghat,Alghat,Ar-Riyad,no
Alghazalah,Alghazalah,Hail,no
Abha,Abha,Aseer,yes
Abu-Arish,Abu-Arish,Jazan,no
Ahad-almusarihah,Ahad-almusarihah,Jazan,no
Ahad-Rifaydah,Ahad-Rifaydah,Aseer,no
Afif,Afif,Ar-Riyad,no
Addair,Addair,Jazan,no
Alharth,Alharth,Jazan,no
Alhinakiyah,Alhinakiyah,Al-Madinah-Al-Monawarah,no
Alidabi,Alidabi,Jazan,no
Aljubayl,Aljubayl,Eastern-Region,yes
Aljumum,Aljumum,Makkah-Al-Mokarramah,no
Alkamil,Alkamil,Makkah-Al-Mokarramah,no
Alkhafji,Alkhafji,Eastern-Region,no
Alkharj,Alkharj,Ar-Riyad,yes
Alkharkhir,Alkharkhir,Najran,no
Alkhubar,Alkhubar,Eastern-Region,yes
Alkhurmah,Alkhurmah,Makkah-Al-Mokarramah,no
Allith,Allith,Makkah-Al-Mokarramah,no
Almadinah-almunawwarah,Almadinah-almunawwarah,Al-Madinah-Al-Monawarah,yes
Almahd,Almahd,Al-Madinah-Al-Monawarah,no
Almajardah,Almajardah,Aseer,no
Almajmaah,Almajmaah,Ar-Riyad,no
Almandaq,Almandaq,Al-Baha,no
Almidhnab,Almidhnab,Al-Qaseem,no
Almukhwah,Almukhwah,Al-Baha,no
Almuzahimiyah,Almuzahimiyah,Ar-Riyad,no
Alnuayriyah,Alnuayriyah,Eastern-Region,no
Alqari,Alqari,Al-Baha,no
Alqatif,Alqatif,Eastern-Region,yes
AlDarb,AlDarb,Jazan,no
Alqunfidhah,Alqunfidhah,Makkah-Al-Mokarramah,yes
Alqurayyat,Alqurayyat,Al-Jouf,no
Alquwayiyah,Alquwayiyah,Ar-Riyad,no
Altaif,Altaif,Makkah-Al-Mokarramah,yes
Alula,Alula,Al-Madinah-Al-Monawarah,no
Alwajh,Alwajh,Tabouk,no
Annabhaniyah,Annabhaniyah,Al-Qaseem,no
Annamas,Annamas,Aseer,yes
Arar,Arar,Northern-Borders,maybe
Arrass,Arrass,Al-Qaseem,maybe
Arrayth,Arrayth,Jazan,no
Arriyad,Arriyad,Ar-Riyad,yes
Ashshimasiyah,Ashshimasiyah,Al-Qaseem,no
Asshinan,Asshinan,Hail,no
Assulayyil,Assulayyil,Ar-Riyad,no
Azzulfi,Azzulfi,Ar-Riyad,no
Badr,Badr,Al-Madinah-Al-Monawarah,no
Badr-aljanub,Badr-aljanub,Najran,no
Balqarn,Balqarn,Aseer,no
Baqa,Baqa,Hail,no
Baysh,Baysh,Jazan,no
Biljurashi,Biljurashi,Al-Baha,no
Bishah,Bishah,Aseer,no
Buqayq,Buqayq,Eastern-Region,no
Buraydah,Buraydah,Al-Qaseem,maybe
Damad,Damad,Jazan,no
Dawamat-aljandal,Dawamat-aljandal,Al-Jouf,no
Duba,Duba,Tabouk,yes
Duruma,Duruma,Ar-Riyad,no
Farasan,Farasan,Jazan,no
Hafar-albatin,Hafar-albatin,Eastern-Region,yes
Hail,Hail,Hail,maybe
Haqil,Haqil,Tabouk,no
Hawtat-Bani-Tamim,Hawtat-Bani-Tamim,Ar-Riyad,no
Hubuna,Hubuna,Najran,no
Huraymila,Huraymila,Ar-Riyad,no
Jazan,Jazan,Jazan,yes
Jeddah,Jeddah,Makkah-Al-Mokarramah,yes
Khamis-Mushayt,Khamis-Mushayt,Aseer,no
Khaybar,Khaybar,Al-Madinah-Al-Monawarah,no
Khubash,Khubash,Najran,no
Khulays,Khulays,Makkah-Al-Mokarramah,no
Makkah-almukarramah,Makkah-almukarramah,Makkah-Al-Mokarramah,yes
Marat,Marat,Ar-Riyad,no
Muhayil,Muhayil,Aseer,yes
Najran,Najran,Najran,yes
Qaryah-alulya,Qaryah-alulya,Eastern-Region,no
Qilwah,Qilwah,Al-Baha,no
Rabigh,Rabigh,Makkah-Al-Mokarramah,no
Rafha,Rafha,Northern-Borders,no
Ranyah,Ranyah,Makkah-Al-Mokarramah,no
Ras-Tannurah,Ras-Tannurah,Eastern-Region,no
Rijal-Alma,Rijal-Alma,Aseer,no
Riyadh-alkhabra,Riyadh-alkhabra,Al-Qaseem,maybe
Rumah,Rumah,Ar-Riyad,no
Sabya,Sabya,Jazan,no
Sakaka,Sakaka,Al-Jouf,no
Samtah,Samtah,Jazan,no
Sarat-Abidah,Sarat-Abidah,Aseer,no
Shaqra,Shaqra,Ar-Riyad,no
Sharurah,Sharurah,Najran,no
Tabuk,Tabuk,Tabouk,maybe
Tathlith,Tathlith,Aseer,no
Tayma,Tayma,Tabouk,no
Thadiq,Thadiq,Ar-Riyad,no
Thar,Thar,Najran,no
Turayf,Turayf,Northern-Borders,no
Turubah,Turubah,Makkah-Al-Mokarramah,no
Umluj,Umluj,Tabouk,no
Unayzah,Unayzah,Al-Qaseem,no
Uyun-aljiwa,Uyun-aljiwa,Al-Qaseem,no
Wadi-addawasir,Wadi-addawasir,Ar-Riyad,no
Yadamah,Yadamah,Najran,no
Yanbu-albahr,Yanbu-albahr,Al-Madinah-Al-Monawarah,no
Zahran-aljanub,Zahran-aljanub,Aseer,no